iter	Logloss
216	0.4071848866
217	0.4070646109
218	0.4069753482
219	0.4069045913
220	0.4068156385
221	0.4066958636
222	0.4065840636
223	0.4065321153
224	0.4064583362
225	0.4063983963
226	0.4062701348
227	0.4061359526
228	0.4060227814
229	0.4058632871
230	0.4057772552
231	0.4056932133
232	0.4055274371
233	0.4054372376
234	0.4053742893
235	0.4052773123
236	0.4051688767
237	0.4050842018
238	0.4050157591
239	0.4049066001
240	0.4049022466
241	0.4047735908
242	0.4046621804
243	0.4045559127
244	0.4044401215
245	0.4043728047
246	0.4042952367
247	0.4042015295
248	0.404113203
249	0.404000002
250	0.4039179795
251	0.4038029078
252	0.4036597863
253	0.40358886
254	0.4034958051
255	0.4034186929
256	0.4033003042
257	0.4032209147
258	0.403187361
259	0.4031274894
260	0.4031239271
261	0.4030383405
262	0.4029185519
263	0.4027995343
264	0.402718277
265	0.4026617595
266	0.4025797341
267	0.4025166271
268	0.4023546753
269	0.4022874347
270	0.4021719673
271	0.4021094864
272	0.4020389068
273	0.401951278
274	0.4018341344
275	0.4017309812
276	0.4016619386
277	0.4015506561
278	0.4014211659
279	0.4012853478
280	0.4012340164
281	0.4012273487
282	0.4011193826
283	0.4010028921
284	0.400887749
285	0.4008224551
286	0.4007180784
287	0.4006218767
288	0.4004966981
289	0.4004409788
290	0.4003190996
291	0.4002381106
292	0.4001193544
293	0.4000247786
294	0.3999293205
295	0.3998392382
296	0.3997633217
297	0.3996215833
298	0.3995303239
299	0.3994219624
300	0.3993210207
301	0.3992090772
302	0.3991063391
303	0.3989864466
304	0.3988475362
305	0.3988417365
306	0.3987224475
307	0.3986448579
308	0.3985880012
309	0.3985416088
310	0.3984930447
311	0.3984462549
312	0.3983891086
313	0.3983109841
314	0.3982299031
315	0.3981493228
316	0.3980597168
317	0.3979474738
318	0.3978997702
319	0.3977976446
320	0.3977402862
321	0.3976632957
322	0.3975981132
323	0.3975399035
324	0.3975255178
325	0.3974947384
326	0.3974876797
327	0.3974778113
328	0.3974052711
329	0.3973686431
330	0.397305576
331	0.3972747034
332	0.3972303732
333	0.3971814893
334	0.397134131
335	0.3970196694
336	0.3969582207
337	0.3969148947
338	0.3968031888
339	0.3967441276
340	0.3966556773
341	0.3965786947
342	0.3964957001
343	0.3964263224
344	0.3963466294
345	0.3962575927
346	0.3962422074
347	0.3961600483
348	0.3960650516
349	0.3959904112
350	0.395916017
351	0.3958415537
352	0.3957737941
353	0.3957339549
354	0.3957308059
355	0.395666497
356	0.3956115955
357	0.3955570003
358	0.3954779823
359	0.3954745968
360	0.3954042187
361	0.3953256721
362	0.3952201561
363	0.3951901935
364	0.3950996596
365	0.3950453357
366	0.3949857881
367	0.3949826463
368	0.3949800077
369	0.3949130531
370	0.3948580552
371	0.3947502816
372	0.3947456585
373	0.3945962426
374	0.3945577603
375	0.3945536066
376	0.3944804492
377	0.3944291196
378	0.3943472105
379	0.3943177393
380	0.394241203
381	0.3941467544
382	0.394061267
