iter	Logloss
0	0.6428905116
1	0.6046746708
2	0.5867005473
3	0.5619512374
4	0.5413751869
5	0.5310520363
6	0.5211869817
7	0.512999867
8	0.5063721755
9	0.5012142843
10	0.4958306652
11	0.4874877508
12	0.4840340058
13	0.4799767606
14	0.4769114104
15	0.4736249739
16	0.469474809
17	0.4665569315
18	0.4638518048
19	0.4621494813
20	0.4605658692
21	0.4586710929
22	0.4558708949
23	0.4547849544
24	0.4527371617
25	0.4505889612
26	0.4497541253
27	0.4485055888
28	0.4473136576
29	0.4465591964
30	0.4456668487
31	0.445102252
32	0.4445009828
33	0.4439438279
34	0.443407226
35	0.4426219047
36	0.4420404474
37	0.4414688343
38	0.4410950118
39	0.4404840484
40	0.4395063878
41	0.4389862533
42	0.4382673926
43	0.4379885688
44	0.437654804
45	0.4372217902
46	0.4368580029
47	0.4365664897
48	0.4362790862
49	0.435939372
50	0.4357065032
51	0.4353777457
52	0.4351498382
53	0.4347995965
54	0.4343484598
55	0.4332474105
56	0.4325886176
57	0.4323315021
58	0.4320570478
59	0.4317950978
60	0.4315516455
61	0.4312935531
62	0.4311301523
63	0.4309193792
64	0.4302632221
65	0.4300232282
66	0.4298368598
67	0.4295843857
68	0.429420687
69	0.4292839378
70	0.4291418287
71	0.4288167025
72	0.4285557189
73	0.4283567668
74	0.4281259766
75	0.4279165438
76	0.4275716768
77	0.4273100496
78	0.4269575192
79	0.4267788816
80	0.4266768339
81	0.4264916403
82	0.4263320296
83	0.4261710155
84	0.4260001065
85	0.4257612303
86	0.4255700575
87	0.4254417903
88	0.4252443619
89	0.4249691765
90	0.4247852761
91	0.4245719093
92	0.4243803994
93	0.4242775558
94	0.424142646
95	0.4239527386
96	0.4237301051
97	0.4235586111
98	0.423400697
99	0.423220586
100	0.4230917973
101	0.4229529226
102	0.422775188
103	0.4226351679
104	0.4224163998
105	0.4221762755
106	0.4220393313
107	0.4218948283
108	0.4218024603
109	0.4215860783
110	0.4213950542
111	0.4213050436
112	0.4211028631
113	0.4204770887
114	0.4202167954
115	0.4200873143
116	0.4199718713
117	0.4198918151
118	0.419786044
119	0.4196940829
120	0.4195094593
121	0.4194035013
122	0.4193251499
123	0.4191585633
124	0.4190249769
125	0.4188780167
126	0.4187495415
127	0.4186487856
128	0.4185455602
129	0.4184412532
130	0.4183712833
131	0.4182475188
132	0.418196298
133	0.4180531425
134	0.41789876
135	0.4177492731
136	0.4176177867
137	0.4174997654
138	0.4173012141
139	0.4171574675
140	0.4170668197
141	0.4169808223
142	0.4168330201
143	0.41660326
144	0.4164723653
145	0.4163125379
146	0.4160991629
147	0.4159152567
148	0.4158044018
149	0.4156315233
150	0.4154900843
151	0.4153736966
152	0.4152021734
153	0.4150806222
154	0.4148679353
155	0.4146178549
156	0.4144782751
157	0.414358583
158	0.4142801491
159	0.414079128
160	0.4140132415
161	0.4138955631
162	0.4137549634
163	0.4136278499
164	0.4134422226
165	0.4133163073
166	0.4132191238
167	0.4130889132
168	0.4129843609
169	0.4126238084
170	0.4125672439
171	0.4124369854
172	0.4123247598
173	0.412124283
174	0.4119602219
175	0.4118781466
176	0.4117221631
177	0.4116041201
178	0.4114816771
179	0.4113731331
180	0.4112507325
181	0.4111056699
182	0.4110074972
183	0.410931526
184	0.4107560277
185	0.410640906
186	0.4105064275
187	0.4103981932
188	0.4102169128
189	0.4100801486
190	0.4099036534
191	0.409792613
192	0.4096548727
193	0.4095869678
194	0.4095072907
195	0.4093949278
196	0.4092862271
197	0.4091993901
198	0.4091328746
199	0.40903874
200	0.4089353302
201	0.4088072988
202	0.408694958
203	0.4085928712
204	0.4084924753
205	0.4083447758
206	0.4082079599
207	0.4081414924
208	0.408049067
209	0.4079431468
210	0.4077935266
211	0.4076430965
212	0.4075724298
213	0.4074270082
214	0.4073709466
215	0.4072904114
